username,repo_name,stars,repo_url
ccxt,ccxt,https://github.com/ccxt/ccxt,23800
discordjs,discord.js,https://github.com/discordjs/discord.js,18700
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,18100
hubotio,hubot,https://github.com/hubotio/hubot,16100
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,14000
RasaHQ,rasa,https://github.com/RasaHQ/rasa,13800
wechaty,wechaty,https://github.com/wechaty/wechaty,12400
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,12100
howdyai,botkit,https://github.com/howdyai/botkit,10700
botpress,botpress,https://github.com/botpress/botpress,9600
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,8900
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,8800
leon-ai,leon,https://github.com/leon-ai/leon,8600
microsoft,ailab,https://github.com/microsoft/ailab,7000
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6900
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,6800
maxbbraun,trump2cash,https://github.com/maxbbraun/trump2cash,6100
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,6000
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,5900
deepmipt,DeepPavlov,https://github.com/deepmipt/DeepPavlov,5700
botman,botman,https://github.com/botman/botman,5600
telegraf,telegraf,https://github.com/telegraf/telegraf,5400
axa-group,nlp.js,https://github.com/axa-group/nlp.js,4800
jef,streetmerchant,https://github.com/jef/streetmerchant,4800
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,4300
ohld,igbot,https://github.com/ohld/igbot,4200
Yoctol,bottender,https://github.com/Yoctol/bottender,3900
PokemonGoF,PokemonGo-Bot,https://github.com/PokemonGoF/PokemonGo-Bot,3700
chrisleekr,binance-trading-bot,https://github.com/chrisleekr/binance-trading-bot,3700
orkestral,venom,https://github.com/orkestral/venom,3700
