username,repo_name,stars,repo_url
ansible,ansible,https://github.com/ansible/ansible,52600
trailofbits,algo,https://github.com/trailofbits/algo,25300
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,22700
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,21900
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,12000
ansible,awx,https://github.com/ansible/awx,10800
easzlab,kubeasz,https://github.com/easzlab/kubeasz,7900
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,5600
khuedoan,homelab,https://github.com/khuedoan/homelab,5500
curlconverter,curlconverter,https://github.com/curlconverter/curlconverter,5300
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,4900
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,4800
rundeck,rundeck,https://github.com/rundeck/rundeck,4500
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,4500
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,4500
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4200
clong,DetectionLab,https://github.com/clong/DetectionLab,3500
ansible-community,molecule,https://github.com/ansible-community/molecule,3300
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3100
werf,werf,https://github.com/werf/werf,3000
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,2900
welliamcao,OpsManage,https://github.com/welliamcao/OpsManage,2900
ansible,ansible-lint,https://github.com/ansible/ansible-lint,2700
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,2700
alixaxel,chrome-aws-lambda,https://github.com/alixaxel/chrome-aws-lambda,2600
litmuschaos,litmus,https://github.com/litmuschaos/litmus,2600
roots,trellis,https://github.com/roots/trellis,2300
ansistrano,deploy,https://github.com/ansistrano/deploy,2200
openshift,openshift-ansible,https://github.com/openshift/openshift-ansible,2100
fboender,ansible-cmdb,https://github.com/fboender/ansible-cmdb,2000
