username,repo_name,stars,repo_url
localstack,localstack,https://github.com/localstack/localstack,39300
harness,drone,https://github.com/harness/drone,24700
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,18700
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,12300
openshift,origin,https://github.com/openshift/origin,8100
theonedev,onedev,https://github.com/theonedev/onedev,7000
gocd,gocd,https://github.com/gocd/gocd,6400
concourse,concourse,https://github.com/concourse/concourse,6200
buildbot,buildbot,https://github.com/buildbot/buildbot,4800
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,4600
Strider-CD,strider,https://github.com/Strider-CD/strider,4600
jenkins-x,jx,https://github.com/jenkins-x/jx,4100
ovh,cds,https://github.com/ovh/cds,3800
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3700
hygieia,hygieia,https://github.com/hygieia/hygieia,3700
cake-build,cake,https://github.com/cake-build/cake,3300
iterative,cml,https://github.com/iterative/cml,3000
werf,werf,https://github.com/werf/werf,3000
ligurio,awesome-ci,https://github.com/ligurio/awesome-ci,2800
JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action,2800
tox-dev,tox,https://github.com/tox-dev/tox,2700
TheLartians,ModernCppStarter,https://github.com/TheLartians/ModernCppStarter,2600
dancryer,PHPCI,https://github.com/dancryer/PHPCI,2400
dreamans,syncd,https://github.com/dreamans/syncd,2100
shivammathur,setup-php,https://github.com/shivammathur/setup-php,2100
houndci,hound,https://github.com/houndci/hound,1900
fabric8io,fabric8,https://github.com/fabric8io/fabric8,1800
lastbackend,lastbackend,https://github.com/lastbackend/lastbackend,1600
Flagsmith,flagsmith,https://github.com/Flagsmith/flagsmith,1500
nuke-build,nuke,https://github.com/nuke-build/nuke,1400
