username,repo_name,stars,repo_url
electron,electron,https://github.com/electron/electron,101000
microsoft,playwright,https://github.com/microsoft/playwright,36100
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,34400
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,24500
ovity,octotree,https://github.com/ovity/octotree,21900
segmentio,nightmare,https://github.com/segmentio/nightmare,19100
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,18300
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14000
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13200
google,WebFundamentals,https://github.com/google/WebFundamentals,13000
casesandberg,react-color,https://github.com/casesandberg/react-color,10500
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,9700
crimx,ext-saladict,https://github.com/crimx/ext-saladict,8900
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8100
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,7900
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,7600
chromedp,chromedp,https://github.com/chromedp/chromedp,7400
alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api,6600
kangvcar,InfoSpider,https://github.com/kangvcar/InfoSpider,6100
Kenshin,simpread,https://github.com/Kenshin/simpread,5700
yujiosaka,headless-chrome-crawler,https://github.com/yujiosaka/headless-chrome-crawler,5200
MontFerret,ferret,https://github.com/MontFerret/ferret,4900
themerdev,themer,https://github.com/themerdev/themer,4600
firefox-devtools,debugger,https://github.com/firefox-devtools/debugger,4600
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,4500
burtonator,polar-bookshelf,https://github.com/burtonator/polar-bookshelf,4400
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,4400
nieweidong,fetool,https://github.com/nieweidong/fetool,4300
browserless,chrome,https://github.com/browserless/chrome,4400
alyssaxuu,omni,https://github.com/alyssaxuu/omni,4200
